Interval Start,Spinning Reserves,Regulation Up,Regulation Down
2022-01-01 00:00:00-08:00,1.7,1.7,6.34527
2022-01-01 01:00:00-08:00,1.28,1.28,3.0
2022-01-01 02:00:00-08:00,1.28,1.28,2.66427
2022-01-01 03:00:00-08:00,1.28,1.28,1.44
2022-01-01 04:00:00-08:00,1.28,1.28,1.44
2022-01-01 05:00:00-08:00,2.0,2.0,3.0
2022-01-01 06:00:00-08:00,4.97,9.05654,3.7
2022-01-01 07:00:00-08:00,3.41222,5.94274,3.0
2022-01-01 08:00:00-08:00,3.936,8.0,13.87917
2022-01-01 09:00:00-08:00,1.0,4.03992,17.54948
2022-01-01 10:00:00-08:00,1.5,3.51,17.14575
2022-01-01 11:00:00-08:00,1.0,5.0,30.93464
2022-01-01 12:00:00-08:00,1.5,5.0,29.92024
2022-01-01 13:00:00-08:00,1.5,3.66,26.46819
2022-01-01 14:00:00-08:00,0.25,5.84,29.81911
2022-01-01 15:00:00-08:00,0.64,2.65,11.7581
2022-01-01 16:00:00-08:00,1.0,1.44,4.66
2022-01-01 17:00:00-08:00,2.83592,2.93592,2.83209
2022-01-01 18:00:00-08:00,6.91196,9.38042,6.9
2022-01-01 19:00:00-08:00,1.9,2.0,5.44509
2022-01-01 20:00:00-08:00,5.08782,5.08782,1.72
2022-01-01 21:00:00-08:00,2.16,2.27,2.95488
2022-01-01 22:00:00-08:00,2.91,6.66,1.44
2022-01-01 23:00:00-08:00,1.0,2.0,1.4
2022-01-02 00:00:00-08:00,1.4,1.4,3.0
2022-01-02 01:00:00-08:00,1.0,1.0,1.97493
2022-01-02 02:00:00-08:00,0.73,0.73,4.26
2022-01-02 03:00:00-08:00,0.73,0.73,1.95
2022-01-02 04:00:00-08:00,0.73,0.73,1.99
2022-01-02 05:00:00-08:00,3.0,3.0,3.0
2022-01-02 06:00:00-08:00,5.0,5.0,4.0
2022-01-02 07:00:00-08:00,4.59018,8.0,5.05
2022-01-02 08:00:00-08:00,1.37448,5.38264,14.0
2022-01-02 09:00:00-08:00,1.0,5.0,17.0
2022-01-02 10:00:00-08:00,1.06,6.3,25.04651
2022-01-02 11:00:00-08:00,1.0,5.0,31.43249
2022-01-02 12:00:00-08:00,1.5,5.5109,30.72113
2022-01-02 13:00:00-08:00,1.0,4.79,28.44665
2022-01-02 14:00:00-08:00,0.75,5.99,27.39952
2022-01-02 15:00:00-08:00,0.5,5.0,13.96119
2022-01-02 16:00:00-08:00,1.0,1.21,5.05
2022-01-02 17:00:00-08:00,2.92847,7.64847,5.05
2022-01-02 18:00:00-08:00,1.9,2.0,5.05
2022-01-02 19:00:00-08:00,2.91,7.63,5.06463
2022-01-02 20:00:00-08:00,1.9,2.0,2.36
2022-01-02 21:00:00-08:00,4.49376,6.49376,2.92895
2022-01-02 22:00:00-08:00,1.9,2.0,2.69886
2022-01-02 23:00:00-08:00,2.09514,6.11901,3.0
2022-01-03 00:00:00-08:00,1.0,2.53,4.37788
2022-01-03 01:00:00-08:00,2.44,3.97,3.7823
2022-01-03 02:00:00-08:00,1.48,3.01,3.0
2022-01-03 03:00:00-08:00,1.0,2.53,3.54788
2022-01-03 04:00:00-08:00,1.47,3.0,4.47264
2022-01-03 05:00:00-08:00,3.99,3.99,1.98
2022-01-03 06:00:00-08:00,13.0,13.0,2.0
2022-01-03 07:00:00-08:00,13.09686,17.36055,6.09
2022-01-03 08:00:00-08:00,4.0,5.97,6.09
2022-01-03 09:00:00-08:00,6.0,7.97,6.0
2022-01-03 10:00:00-08:00,2.94662,6.98905,9.06738
2022-01-03 11:00:00-08:00,1.0,5.0,20.12665
2022-01-03 12:00:00-08:00,1.0,5.0,12.63128
2022-01-03 13:00:00-08:00,1.0,4.61,9.85
2022-01-03 14:00:00-08:00,1.68244,5.69731,12.53395
2022-01-03 15:00:00-08:00,1.42,2.8,14.87
2022-01-03 16:00:00-08:00,12.0,12.0,11.97
2022-01-03 17:00:00-08:00,40.71437,40.91437,11.97
2022-01-03 18:00:00-08:00,29.17011,29.17011,10.0
2022-01-03 19:00:00-08:00,13.26176,13.46176,6.47628
2022-01-03 20:00:00-08:00,9.0,10.90296,3.61
2022-01-03 21:00:00-08:00,2.89,2.89,3.6
2022-01-03 22:00:00-08:00,4.0,4.71467,5.99
2022-01-03 23:00:00-08:00,4.0,6.0,5.99
2022-01-04 00:00:00-08:00,3.0,3.02,5.0
2022-01-04 01:00:00-08:00,3.0,3.0,5.0
2022-01-04 02:00:00-08:00,3.0,3.0,5.36577
2022-01-04 03:00:00-08:00,1.5,2.6,5.0
2022-01-04 04:00:00-08:00,1.5,2.26,5.0
2022-01-04 05:00:00-08:00,4.0,4.0,5.0
2022-01-04 06:00:00-08:00,10.3208,10.3208,3.0
2022-01-04 07:00:00-08:00,13.0,16.88846,6.63
2022-01-04 08:00:00-08:00,4.0,6.40333,4.46207
2022-01-04 09:00:00-08:00,2.91,6.05521,4.99
2022-01-04 10:00:00-08:00,1.5,8.0109,6.0
2022-01-04 11:00:00-08:00,1.24,3.0,8.07162
2022-01-04 12:00:00-08:00,1.15339,2.90339,6.0
2022-01-04 13:00:00-08:00,1.17,2.93,6.0
2022-01-04 14:00:00-08:00,1.0,4.48,10.9852
2022-01-04 15:00:00-08:00,4.1,5.86,5.70578
2022-01-04 16:00:00-08:00,12.0,12.0,4.16
2022-01-04 17:00:00-08:00,22.02392,22.27392,10.0
2022-01-04 18:00:00-08:00,16.86291,16.86291,3.07
2022-01-04 19:00:00-08:00,10.0,10.24,5.23495
2022-01-04 20:00:00-08:00,9.0,9.0,5.99
2022-01-04 21:00:00-08:00,4.0,4.0,9.36057
2022-01-04 22:00:00-08:00,2.91,2.91,3.90308
2022-01-04 23:00:00-08:00,3.77432,3.77432,3.94119
2022-01-05 00:00:00-08:00,3.0,3.0,5.0
