Publish Time,Location,Solar MW
2022-06-30 07:00:00-07:00,CAISO,0.0
2022-06-30 07:00:00-07:00,NP15,0.0
2022-06-30 07:00:00-07:00,SP15,0.0
2022-06-30 07:00:00-07:00,ZP26,0.0
2022-06-30 07:00:00-07:00,CAISO,0.0
2022-06-30 07:00:00-07:00,NP15,0.0
2022-06-30 07:00:00-07:00,SP15,0.0
2022-06-30 07:00:00-07:00,ZP26,0.0
2022-06-30 07:00:00-07:00,CAISO,0.0
2022-06-30 07:00:00-07:00,NP15,0.0
2022-06-30 07:00:00-07:00,SP15,0.0
2022-06-30 07:00:00-07:00,ZP26,0.0
2022-06-30 07:00:00-07:00,CAISO,0.0
2022-06-30 07:00:00-07:00,NP15,0.0
2022-06-30 07:00:00-07:00,SP15,0.0
2022-06-30 07:00:00-07:00,ZP26,0.0
2022-06-30 07:00:00-07:00,CAISO,0.0
2022-06-30 07:00:00-07:00,NP15,0.0
2022-06-30 07:00:00-07:00,SP15,0.0
2022-06-30 07:00:00-07:00,ZP26,0.0
2022-06-30 07:00:00-07:00,CAISO,46.3
2022-06-30 07:00:00-07:00,NP15,1.26
2022-06-30 07:00:00-07:00,SP15,44.18
2022-06-30 07:00:00-07:00,ZP26,0.86
2022-06-30 07:00:00-07:00,CAISO,2450.4300000000003
2022-06-30 07:00:00-07:00,NP15,341.95
2022-06-30 07:00:00-07:00,SP15,1854.24
2022-06-30 07:00:00-07:00,ZP26,254.24
2022-06-30 07:00:00-07:00,CAISO,7639.58
2022-06-30 07:00:00-07:00,NP15,1271.59
2022-06-30 07:00:00-07:00,SP15,5349.58
2022-06-30 07:00:00-07:00,ZP26,1018.41
2022-06-30 07:00:00-07:00,CAISO,10730.05
2022-06-30 07:00:00-07:00,NP15,1752.66
2022-06-30 07:00:00-07:00,SP15,7426.65
2022-06-30 07:00:00-07:00,ZP26,1550.74
2022-06-30 07:00:00-07:00,CAISO,12147.59
2022-06-30 07:00:00-07:00,NP15,1909.99
2022-06-30 07:00:00-07:00,SP15,8427.74
2022-06-30 07:00:00-07:00,ZP26,1809.86
2022-06-30 07:00:00-07:00,CAISO,12839.45
2022-06-30 07:00:00-07:00,NP15,1963.45
2022-06-30 07:00:00-07:00,SP15,8896.7
2022-06-30 07:00:00-07:00,ZP26,1979.3
2022-06-30 07:00:00-07:00,CAISO,13173.029999999999
2022-06-30 07:00:00-07:00,NP15,1996.79
